"wave.count","wave.names","wavelengths"
"215","wave.1455","1455.442993"
"216","wave.1460","1460.450806"
"217","wave.1465","1465.458618"
"218","wave.1470","1470.466553"
"219","wave.1475","1475.474243"
"220","wave.1480","1480.482178"
"221","wave.1485","1485.48999"
"222","wave.1490","1490.497803"
"223","wave.1496","1495.505737"
"224","wave.1501","1500.51355"
"225","wave.1506","1505.521362"
"226","wave.1511","1510.529175"
"227","wave.1516","1515.536987"
"228","wave.1521","1520.544922"
"229","wave.1526","1525.552734"
"230","wave.1531","1530.560547"
"231","wave.1536","1535.568359"
"232","wave.1541","1540.576172"
"233","wave.1546","1545.584106"
"234","wave.1551","1550.591919"
"235","wave.1556","1555.599731"
"236","wave.1561","1560.607544"
"237","wave.1566","1565.615356"
"238","wave.1571","1570.623291"
"239","wave.1576","1575.631104"
"240","wave.1581","1580.638916"
"241","wave.1586","1585.646851"
"242","wave.1591","1590.654541"
"243","wave.1596","1595.662476"
"244","wave.1601","1600.670288"
"245","wave.1606","1605.678101"
"246","wave.1611","1610.686035"
"247","wave.1616","1615.693848"
"248","wave.1621","1620.70166"
"249","wave.1626","1625.709473"
"250","wave.1631","1630.717285"
"251","wave.1636","1635.72522"
"252","wave.1641","1640.733032"
"253","wave.1646","1645.740845"
"254","wave.1651","1650.748657"
"255","wave.1656","1655.75647"
"256","wave.1661","1660.764404"
"257","wave.1666","1665.772217"
"258","wave.1671","1670.780029"
"259","wave.1676","1675.787842"
"260","wave.1681","1680.795654"
"261","wave.1686","1685.803589"
"262","wave.1691","1690.811401"
"263","wave.1696","1695.819214"
"264","wave.1701","1700.827148"
"265","wave.1706","1705.834961"
"266","wave.1711","1710.842651"
"267","wave.1716","1715.850586"
"268","wave.1721","1720.858398"
"269","wave.1726","1725.866333"
"270","wave.1731","1730.874146"
"271","wave.1736","1735.881958"
"272","wave.1741","1740.889771"
"273","wave.1746","1745.897583"
"274","wave.1751","1750.905518"
"275","wave.1756","1755.91333"
"276","wave.1761","1760.921143"
"277","wave.1766","1765.928955"
"278","wave.1771","1770.936768"
"279","wave.1776","1775.94458"
"280","wave.1781","1780.952515"
"281","wave.1786","1785.960327"
"282","wave.1791","1790.96814"
"283","wave.1796","1795.975952"
"284","wave.1801","1800.983765"
"285","wave.1806","1805.991699"
"286","wave.1811","1810.999512"
"287","wave.1816","1816.007446"
"288","wave.1821","1821.015259"
"289","wave.1826","1826.022949"
"290","wave.1831","1831.030884"
"291","wave.1836","1836.038696"
"292","wave.1841","1841.046631"
"293","wave.1846","1846.054443"
"294","wave.1851","1851.062256"
"295","wave.1856","1856.070068"
"296","wave.1861","1861.077881"
"297","wave.1866","1866.085693"
"298","wave.1871","1871.093628"
"299","wave.1876","1876.10144"
"300","wave.1881","1881.109253"
"301","wave.1886","1886.117065"
"302","wave.1891","1891.124878"
"303","wave.1896","1896.132813"
"304","wave.1901","1901.140625"
"305","wave.1906","1906.14856"
"306","wave.1911","1911.15625"
"307","wave.1916","1916.164063"
"308","wave.1921","1921.171997"
"309","wave.1926","1926.17981"
"310","wave.1931","1931.187622"
"311","wave.1936","1936.195557"
"312","wave.1941","1941.203247"
"313","wave.1946","1946.211182"
"314","wave.1951","1951.218994"
"315","wave.1956","1956.226807"
"316","wave.1961","1961.234741"
"317","wave.1966","1966.242554"
"318","wave.1971","1971.250366"
"319","wave.1976","1976.258179"
"320","wave.1981","1981.265991"
"321","wave.1986","1986.273926"
"322","wave.1991","1991.281738"
"323","wave.1996","1996.289551"
"324","wave.2001","2001.297363"
"325","wave.2006","2006.305176"
"326","wave.2011","2011.31311"
"327","wave.2016","2016.320923"
"328","wave.2021","2021.328735"
"329","wave.2026","2026.336548"
"330","wave.2031","2031.34436"
"331","wave.2036","2036.352295"
"332","wave.2041","2041.360107"
"333","wave.2046","2046.36792"
"334","wave.2051","2051.375732"
"335","wave.2056","2056.383545"
"336","wave.2061","2061.391602"
"337","wave.2066","2066.399414"
"338","wave.2071","2071.406982"
"339","wave.2076","2076.415039"
"340","wave.2081","2081.422852"
"341","wave.2086","2086.430664"
"342","wave.2091","2091.438477"
"343","wave.2096","2096.446289"
"344","wave.2101","2101.454102"
"345","wave.2106","2106.461914"
"346","wave.2111","2111.469727"
"347","wave.2116","2116.477783"
"348","wave.2121","2121.485596"
"349","wave.2126","2126.493408"
"350","wave.2132","2131.501221"
"351","wave.2137","2136.509033"
"352","wave.2142","2141.516846"
"353","wave.2147","2146.524658"
"354","wave.2152","2151.532715"
"355","wave.2157","2156.540283"
"356","wave.2162","2161.548096"
"357","wave.2167","2166.556152"
"358","wave.2172","2171.563965"
"359","wave.2177","2176.571777"
"360","wave.2182","2181.57959"
"361","wave.2187","2186.587402"
"362","wave.2192","2191.595215"
"363","wave.2197","2196.603027"
"364","wave.2202","2201.61084"
"365","wave.2207","2206.618896"
"366","wave.2212","2211.626709"
"367","wave.2217","2216.634521"
"368","wave.2222","2221.642334"
"369","wave.2227","2226.650146"
"370","wave.2232","2231.657959"
"371","wave.2237","2236.665771"
"372","wave.2242","2241.673584"
"373","wave.2247","2246.681396"
"374","wave.2252","2251.689209"
"375","wave.2257","2256.697266"
"376","wave.2262","2261.705078"
"377","wave.2267","2266.712891"
"378","wave.2272","2271.720703"
"379","wave.2277","2276.728516"
"380","wave.2282","2281.736328"
"381","wave.2287","2286.744141"
"382","wave.2292","2291.751953"
"383","wave.2297","2296.76001"
"384","wave.2302","2301.767578"
"385","wave.2307","2306.775635"
"386","wave.2312","2311.783447"
"387","wave.2317","2316.79126"
"388","wave.2322","2321.799072"
"389","wave.2327","2326.806885"
"390","wave.2332","2331.814697"
"391","wave.2337","2336.82251"
"392","wave.2342","2341.830322"
"393","wave.2347","2346.838379"
"394","wave.2352","2351.846191"
"395","wave.2357","2356.854004"
