"","x"
"1",2.84
"2",1.88
"3",2.61
"4",2.83
"5",1.9
"6",2.26
"7",1.69
"8",2.36
"9",2.16
"10",2.46
"11",2.51
"12",1.18
"13",2.71
"14",3.03
"15",1.87
"16",2.46
"17",1.96
"18",2.23
"19",2.21
"20",2.17
"21",2.82
"22",2.05
"23",2.29
"24",2.32
"25",1.69
"26",2.96
"27",2.63
"28",1.72
"29",2.36
"30",3.21
"31",2.14
"32",1.86
"33",2.01
"34",1.82
"35",2.03
"36",3
