Your Initials,Site.Name,Site.ID,Domain.Number,State,Latitude,Longitude,Site.Type,utm.zone,easting,northing,cor.R
,The University of Kansas Field Station,UKFS,D06,KS,39.04043,-95.19215,Relocatable Terrestrial,15,310276.2976,4323549.848,NA
,Harvard Forest,HARV,D01,MA,42.5369,-72.17266,Core Terrestrial,18,732183.1938,4713265.041,NA
,Smithsonian Environmental Research Center,SERC,D02,MD,38.89008,-76.56001,Relocatable Terrestrial,18,364703.6624,4305735.3,NA
,UNDERC,UNDE,D05,MI,46.23388,-89.53725,Core Terrestrial,16,304366.9502,5123162.886,NA
,Dakota Coteau Field School,DCFS,D09,ND,47.16165,-99.10656,Relocatable Terrestrial,14,491923.1813,5223133.451,NA
,Northern Great Plains Research Laboratory,NOGP,D09,ND,46.76972,-100.91535,Relocatable Terrestrial,14,353761.6032,5181355.713,NA
,Woodworth,WOOD,D09,ND,47.12823,-99.24136,Core Terrestrial,14,481694.4185,5219442.262,NA
,Bartlett Experimental Forest,BART,D01,NH,44.06388,-71.28731,Relocatable Terrestrial,19,316812.1595,4881511.552,NA
,Jornada LTER,JORN,D14,NM,32.59068,-106.84254,Relocatable Terrestrial,13,327074.6154,3607409.163,NA
,Klemme Range Research Station,OAES,D11,OK,35.41059,-99.05879,Relocatable Terrestrial,14,494662.2504,3918579.067,NA
,Guanica Forest,GUAN,D04,PR,17.96955,-66.8687,Core Terrestrial,19,725706.1285,1988112.213,NA
,Lajas Experimental Station,LAJA,D04,PR,18.02125,-67.0769,Relocatable Terrestrial,19,703591.1281,1993593.871,NA
,"Great Smoky Mountains National Park, Twin Creeks",GRSM,D07,TN,35.68896,-83.50195,Relocatable Terrestrial,17,273599.8765,3952335.289,NA
,Oak Ridge,ORNL,D07,TN,35.96412,-84.2826,Core Terrestrial,16,745052.4354,3983383.087,NA
,LBJ National Grassland ,CLBJ,D11,TX,33.40123,-97.57,Core Terrestrial,14,632982.2183,3696682.441,NA
,Moab,MOAB,D13,UT,38.24833,-109.38827,Relocatable Terrestrial,12,641031.4708,4234596.509,NA
,Onaqui,ONAQ,D15,UT,40.17759,-112.45244,Core Terrestrial,12,376339.6859,4448479.606,NA
,Blandy Experimental Farm,BLAN,D02,VA,39.06026,-78.07164,Relocatable Terrestrial,17,753379.5421,4327545.884,NA
,Mountain Lake Biological Station,MLBS,D07,VA,37.37828,-80.52484,Relocatable Terrestrial,17,542067.6354,4136943.44,NA
,Smithsonian Conservation Biology Institute,SCBI,D02,VA,38.89292,-78.1395,Core Terrestrial,17,748090.6473,4308784.078,NA
,Abby Road,ABBY,D16,WA,45.76243,-122.33033,Relocatable Terrestrial,10,552075.5426,5067870.429,NA
,Wind River Experimental Forest,WREF,D16,WA,45.82049,-121.95191,Core Terrestrial,10,581417.9549,5074637.094,NA
,Steigerwaldt Land Services,STEI,D05,WI,45.50894,-89.58637,Relocatable Terrestrial,16,297968.2963,5042743.681,NA
,Treehaven,TREE,D05,WI,45.49369,-89.58571,Relocatable Terrestrial,16,297965.2788,5041047.817,NA
,Yellowstone Northern Range (Frog Rock),YELL,D12,WY,44.95348,-110.53914,Core Terrestrial,12,536352.1992,4977885.935,NA
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
