system:index,area_m2,cluster,.geo
0,2.9417345915298462E7,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9661563.2029953,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.2182229301651E7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.104371729549408E7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.559247258592987E7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.442609612978363E7,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.7032996127609253E7,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
