system:index,area_m2,cluster,.geo
0,3.495277118418884E7,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.1397890971786499E7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.3483527441734314E7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.960520071095276E7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.9917030250099182E7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
